n_samples,time,memory,MAE,RMSE,R2
0.0,0.04724833847554853,0.015879970162985816,0.5207477521737374,0.9337582575162031,0.037031100561555015
0.0,0.04237328364311645,0.2650745036999018,0.33278004715126974,0.42039046710326206,0.017577369385092866
0.0,0.041557303578312214,0.08953707131838767,1.1747026941676753,0.6434099564436326,0.02847585408376718
0.0,0.04093469684509707,0.3066403011636178,1.7943495239007075,1.0829678177953848,0.04168619659671532
0.0,0.04063967708164031,0.13734775722243153,1.3129378801408709,0.9434286873508282,0.03829461818193256
0.0,0.043369691661343406,0.2931292663621622,1.6077197949379451,1.2380420984826446,0.052562997076841055
0.0,0.046261819324362956,0.3544118306634072,1.7064704349441013,1.4272640788285142,0.06183387594757424
0.0,0.049513131780367106,0.34915449543833627,1.861312846758359,1.5894753465943743,0.06793239652257235
0.0,0.053575134308744374,0.37343004699675686,2.0091619069533198,1.7640146178227087,0.0763336766682963
0.0,0.054333123577611483,0.5488362432847357,2.034358286372684,1.7933491742497334,0.08090689241838422
0.0,0.05967617574292108,0.4569682702332844,2.3824364310796824,2.077710062844381,0.0919408728014913
0.0,0.06507667334537004,0.3259907974161234,2.528269133542944,2.209338997296408,0.09495627752813396
0.0,0.071388964373354,0.3117370686973238,2.472620124506958,2.1625519003056777,0.09428886745422281
0.0,0.07399529161372362,0.24845522735495038,2.6085446883698005,2.2676855202478334,0.09672784223428123
0.0,0.07431642975816319,0.2789265136196272,2.775316463113803,2.406493273558025,0.1009352181168694
0.0,0.07307763634861214,0.3875177415293395,2.8526037826015735,2.4762787605215824,0.10218650440346809
0.0,0.07805398770402441,0.3745263675630861,2.9729035960251395,2.573435349915422,0.10537307876635285
0.0,0.08272497162284191,0.3679945651772591,3.1062550977917938,2.674424694005103,0.10647066356372539
0.0,0.09264453590849273,0.4137390481934235,3.196042709906816,2.746152400865382,0.10867899370991618
0.0,0.09071176087751795,0.48793442182326097,3.185295407193608,2.7199867952753376,0.1087698193861698
0.0,0.09571703261018914,0.4730010570812711,3.1519998590178115,2.6996985127850306,0.11034524685957252
0.0,0.09780367307775305,0.38216488588042713,3.154020086206777,2.6691777806987127,0.10625472114922704
