,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,16,4,12,1,11,4,16599.0
1,7,3,4,2,2,4,16599.0
2,16,4,12,1,11,4,16599.0
3,9,4,5,1,4,4,16599.0
4,18,4,14,2,12,4,16599.0
