,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,15,7,8,0,8,4,22784.0
1,13,6,7,1,6,4,22784.0
2,9,4,5,1,4,4,22784.0
3,13,6,7,1,6,4,22784.0
4,13,6,7,1,6,4,22784.0
