,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,135,18,117,1,116,4,100000.0
1,505,63,442,10,432,4,100000.0
2,499,63,436,10,426,4,100000.0
3,133,18,115,1,114,4,100000.0
4,513,64,449,9,440,4,100000.0
