,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,35,7,28,20,8,4,6574.0
1,33,6,27,21,6,4,6574.0
2,35,7,28,20,8,4,6574.0
3,33,6,27,21,6,4,6574.0
4,35,7,28,21,7,4,6574.0
