,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,58,10,48,18,30,4,5298.0
1,25,7,18,3,15,4,5298.0
2,30,7,23,3,20,4,5298.0
3,62,11,51,15,36,4,5298.0
4,50,10,40,14,26,4,5298.0
