,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,142,28,114,38,76,6,20500.0
1,104,34,70,30,40,6,20500.0
2,170,38,132,45,87,6,20500.0
3,156,26,130,56,74,6,20500.0
4,174,31,143,40,103,6,20500.0
