,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,41,20,21,7,14,6,22784.0
1,23,11,12,4,8,6,22784.0
2,33,16,17,7,10,6,22784.0
3,27,13,14,8,6,6,22784.0
4,39,19,20,6,14,6,22784.0
