,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,25,12,13,7,6,6,13750.0
1,19,9,10,6,4,6,13750.0
2,33,16,17,5,12,6,13750.0
3,19,9,10,6,4,6,13750.0
4,29,14,15,3,12,6,13750.0
