,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,19,9,10,6,4,6,5298.0
1,15,7,8,6,2,6,5298.0
2,13,6,7,5,2,6,5298.0
3,21,10,11,9,2,6,5298.0
4,31,15,16,10,6,6,5298.0
