,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,17,11,6,4,2,6,4977.0
1,17,11,6,4,2,6,4977.0
2,17,11,6,4,2,6,4977.0
3,18,12,6,4,2,6,4977.0
4,17,11,6,4,2,6,4977.0
