,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,110,44,66,13,53,6,100000.0
1,103,41,62,10,52,6,100000.0
2,163,62,101,38,63,6,100000.0
3,103,42,61,13,48,6,100000.0
4,164,60,104,41,63,6,100000.0
