,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,179,29,150,150,0,5,17379.0
1,127,25,102,94,8,6,17379.0
2,121,24,97,91,6,6,17379.0
3,188,29,159,159,0,4,17379.0
4,200,30,170,162,8,6,17379.0
