,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,49,24,25,7,18,6,22784.0
1,51,25,26,4,22,6,22784.0
2,37,18,19,9,10,6,22784.0
3,49,24,25,3,22,6,22784.0
4,49,24,25,5,20,6,22784.0
