[3,900] MAE: 39,908,732,115.01075, RMSE: 412,124,759,450.967407, R2: -1,004,819,428,634,479,902,926,619,803,648. – 0:00:01.803847 – 25.74 KB
[4,000] MAE: 39,311,621,013.420807, RMSE: 406,958,835,377.744202, R2: -989,121,720,049,621,500,585,909,944,320. – 0:00:01.848979 – 25.74 KB
[4,100] MAE: 39,706,977,832.893967, RMSE: 402,514,351,305.691101, R2: -933,028,234,248,101,580,723,376,357,376. – 0:00:01.894535 – 25.74 KB
[4,200] MAE: 39,148,612,478.499191, RMSE: 397,715,406,869.517273, R2: -879,156,435,928,295,192,042,330,390,528. – 0:00:01.939815 – 25.74 KB
[4,300] MAE: 38,387,540,288.959808, RMSE: 393,066,053,086.156372, R2: -845,988,478,221,778,033,461,698,756,608. – 0:00:01.985171 – 25.74 KB
[4,400] MAE: 37,626,836,201.873169, RMSE: 388,575,795,332.047729, R2: -824,499,406,641,078,031,374,826,340,352. – 0:00:02.030507 – 25.74 KB
[4,500] MAE: 36,852,418,133.472015, RMSE: 384,234,397,767.074646, R2: -811,957,995,120,527,517,587,441,975,296. – 0:00:02.075432 – 25.74 KB
[4,600] MAE: 37,546,980,616.852562, RMSE: 381,129,653,831.2854, R2: -794,493,327,990,611,111,829,844,262,912. – 0:00:02.120457 – 25.74 KB
[4,700] MAE: 37,897,027,314.394302, RMSE: 377,261,528,243.749573, R2: -788,870,481,928,492,872,505,281,740,800. – 0:00:02.165114 – 25.74 KB
[4,800] MAE: 37,382,083,655.517578, RMSE: 373,320,636,141.015381, R2: -784,747,761,069,699,320,687,548,694,528. – 0:00:02.209920 – 25.74 KB
[4,900] MAE: 36,764,460,317.306465, RMSE: 369,494,092,110.763306, R2: -776,711,681,604,038,223,604,519,796,736. – 0:00:02.254827 – 25.74 KB
[5,000] MAE: 36,116,345,190.033829, RMSE: 365,781,409,963.633362, R2: -771,323,220,946,162,198,663,684,685,824. – 0:00:02.299743 – 25.74 KB
[5,100] MAE: 35,468,557,643.79763, RMSE: 362,178,009,176.334839, R2: -761,104,525,687,412,747,324,260,089,856. – 0:00:02.344450 – 25.74 KB
[5,200] MAE: 34,826,450,789.039482, RMSE: 358,678,806,479.304138, R2: -748,909,109,940,730,090,405,431,869,440. – 0:00:02.389126 – 25.74 KB
[5,300] MAE: 34,220,847,213.218224, RMSE: 355,279,297,689.182861, R2: -740,870,659,200,352,353,522,198,511,616. – 0:00:02.433972 – 25.74 KB
[5,400] MAE: 33,625,090,993.656582, RMSE: 351,974,500,658.440735, R2: -732,384,773,799,547,042,453,094,662,144. – 0:00:02.478656 – 25.74 KB
[5,500] MAE: 33,050,846,435.997215, RMSE: 348,760,234,688.845825, R2: -724,766,102,612,948,889,964,805,881,856. – 0:00:02.523368 – 25.74 KB
[5,600] MAE: 32,498,626,799.207592, RMSE: 345,632,471,002.794128, R2: -712,507,192,482,034,807,603,644,596,224. – 0:00:02.568456 – 25.74 KB
[5,700] MAE: 31,965,532,457.33205, RMSE: 342,587,386,534.894226, R2: -702,503,643,452,228,035,287,447,502,848. – 0:00:02.613267 – 25.74 KB
[5,800] MAE: 31,443,981,207.83411, RMSE: 339,621,348,212.718872, R2: -692,952,598,375,209,200,014,021,623,808. – 0:00:02.658311 – 25.74 KB
[5,900] MAE: 30,936,189,615.344204, RMSE: 336,731,003,861.32373, R2: -684,062,397,016,288,041,957,775,638,528. – 0:00:02.703025 – 25.74 KB
[6,000] MAE: 30,735,699,488.987431, RMSE: 333,974,517,767.295898, R2: -664,770,341,557,836,123,425,113,899,008. – 0:00:02.747727 – 25.74 KB
[6,100] MAE: 31,322,989,073.540249, RMSE: 331,467,992,583.057251, R2: -645,878,207,490,243,291,892,299,071,488. – 0:00:02.792444 – 25.74 KB
[6,200] MAE: 32,254,543,297.35659, RMSE: 329,651,390,036.854004, R2: -634,659,788,177,698,807,998,090,051,584. – 0:00:02.837201 – 25.74 KB
[6,300] MAE: 33,912,773,737.76656, RMSE: 329,128,667,570.994812, R2: -631,410,887,942,473,814,349,638,008,832. – 0:00:02.882050 – 25.74 KB
