,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,11,5,6,6,0,5,4977.0
1,15,7,8,8,0,6,4977.0
2,9,4,5,5,0,4,4977.0
3,11,5,6,6,0,5,4977.0
4,11,5,6,6,0,5,4977.0
