,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,63,31,32,32,0,9,17379.0
1,57,28,29,29,0,8,17379.0
2,61,30,31,31,0,11,17379.0
3,71,35,36,36,0,11,17379.0
4,73,36,37,37,0,11,17379.0
