,n_samples,MAE,RMSE,R2,time_learning,time_predicting,memory,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,999,19.773325719299297,37.92697105916192,-0.013677218748122,0.39223265647888184,0.06480026245117188,0.5564155578613281,5,2,3,3,0,3,1000.0
1,1999,20.332722314709482,42.42278302617208,0.01663689330479423,0.7525238990783691,0.1257152557373047,0.9725303649902344,9,4,5,5,0,4,2000.0
2,2999,19.809420807562933,39.59132222940262,-0.0001451353182198023,1.132270097732544,0.2189328670501709,0.9285926818847656,15,7,8,8,0,5,3000.0
3,3999,20.022126938757687,44.43657078306185,0.010010874135125136,1.4140019416809082,0.2743222713470459,1.4067497253417969,23,11,12,12,0,6,4000.0
4,4999,19.50904391787503,41.913982667706925,0.011400820366105235,1.739872932434082,0.3302299976348877,1.8537330627441406,27,13,14,14,0,6,5000.0
5,5999,19.110126586218943,40.447812338408845,0.012513905221133048,1.9862651824951172,0.3861050605773926,2.600494384765625,33,16,17,17,0,7,6000.0
6,6999,19.122883947236005,39.34655887545626,0.014338861555922566,2.295517683029175,0.44252586364746094,2.645599365234375,43,21,22,22,0,7,7000.0
7,7999,19.336833269702545,38.78736067773608,0.016718550892593664,2.520413875579834,0.4989774227142334,3.898754119873047,45,22,23,23,0,8,8000.0
8,8999,19.740083033035297,38.9942997022388,0.01787537580955023,2.831679105758667,0.5565700531005859,3.9216880798339844,53,26,27,27,0,8,9000.0
9,9999,20.29380485371635,39.51725278734443,0.02746150368446376,3.1348612308502197,0.6145017147064209,4.087093353271484,61,30,31,31,0,8,10000.0
10,10999,20.573556595387494,39.30575949082994,0.02690231864379622,3.4175758361816406,0.6730504035949707,4.465297698974609,67,33,34,34,0,8,11000.0
11,11999,20.734296668659255,38.996973661801306,0.030927034985296697,3.713651418685913,0.7313072681427002,4.8713836669921875,71,35,36,36,0,9,12000.0
12,12999,21.268277658292014,40.29002413214271,0.03464735366895588,3.942201852798462,0.8397512435913086,5.6051788330078125,73,36,37,37,0,9,13000.0
13,13999,21.839884247813274,40.777796508086475,0.04201322962734355,4.31472373008728,0.8985371589660645,5.0135040283203125,87,43,44,44,0,9,14000.0
14,14999,22.423660928286186,41.241802763139816,0.044875380717444346,4.674407482147217,0.957061767578125,5.247001647949219,91,45,46,46,0,9,15000.0
15,15999,22.712832966694773,41.15337568725136,0.04757671502367278,4.959947109222412,1.0165104866027832,5.599967956542969,97,48,49,49,0,9,16000.0
16,16999,23.1144624923494,41.59294971290886,0.050980800063997744,5.191624879837036,1.0754823684692383,6.256885528564453,101,50,51,51,0,10,17000.0
17,17999,23.410438811359338,41.488698481128544,0.05408236559167856,5.451921224594116,1.1355650424957275,6.348079681396484,109,54,55,55,0,10,18000.0
18,18999,23.498794731450605,41.26157375720157,0.049193202651185874,5.665039777755737,1.2521989345550537,7.153339385986328,113,56,57,57,0,10,19000.0
19,19999,23.562025719373707,41.05567907910609,0.0407742078160539,5.976277828216553,1.3090455532073975,7.939983367919922,117,58,59,59,0,10,20000.0
20,20999,23.378965920569048,40.8036545434531,0.0357563711215102,6.225886344909668,1.3674912452697754,8.817249298095703,119,59,60,60,0,10,21000.0
21,21999,23.13244189528923,40.33059521013634,0.033912673246742187,6.63085150718689,1.4307670593261719,9.092700958251953,121,60,61,61,0,10,22000.0
22,22999,22.917675388266723,40.08593505870345,0.03231314242405792,6.96300196647644,1.4919915199279785,9.22580337524414,129,64,65,65,0,10,23000.0
23,23999,22.69085194157381,39.60417861964982,0.03180563130131553,7.240715742111206,1.626950740814209,9.898014068603516,133,66,67,67,0,10,24000.0
24,24999,22.508750897394602,39.20576465923638,0.030247508266807888,7.620607137680054,1.6892094612121582,9.957820892333984,139,69,70,70,0,10,25000.0
25,25999,22.35065509385498,38.90576628315604,0.028380060971559318,7.877973794937134,1.7615296840667725,10.71597671508789,143,71,72,72,0,10,26000.0
26,26999,22.252178160731347,38.590226301157784,0.02620329406958366,8.309168100357056,1.8219633102416992,10.333454132080078,149,74,75,75,0,10,27000.0
27,27999,22.153782404133455,38.32899599296583,0.024167715903626208,8.751283884048462,1.8919486999511719,10.6314697265625,151,75,76,76,0,11,28000.0
28,28999,22.091022834746404,38.23756481695401,0.021431541149599886,9.174748420715332,1.959134817123413,10.687370300292969,157,78,79,79,0,11,29000.0
29,29999,22.01114184878014,37.96805988567799,0.020609904579518057,9.463364362716675,2.0214385986328125,11.331596374511719,161,80,81,81,0,11,30000.0
30,30999,21.9713660892689,38.08559621686835,0.020986230346745294,9.800719499588013,2.082674026489258,11.713264465332031,165,82,83,83,0,11,31000.0
31,31999,21.89662479804564,37.843753828741285,0.020012780400898156,10.094922304153442,2.1462295055389404,12.18524169921875,169,84,85,85,0,11,32000.0
32,32999,21.863187433905214,37.727217028195575,0.019380330038836657,10.529769659042358,2.2173800468444824,12.033275604248047,177,88,89,89,0,12,33000.0
33,33999,21.825219799133574,37.55983557087209,0.018871500034605915,10.92580533027649,2.2930514812469482,12.209407806396484,183,91,92,92,0,12,34000.0
34,34999,21.823179964870885,37.44051240694184,0.018106929101314617,11.38609528541565,2.448934555053711,12.464588165283203,183,91,92,92,0,12,35000.0
35,35999,21.83779138039379,37.313923511338125,0.017813001183165644,11.789897203445435,2.51381778717041,12.659915924072266,187,93,94,94,0,12,36000.0
36,36999,21.832810498630234,37.160344805493295,0.017196618319657686,11.978737592697144,2.5763978958129883,13.911502838134766,187,93,94,94,0,12,37000.0
37,37999,21.81939858456226,36.973474402319404,0.016724153086227656,12.370605230331421,2.638911008834839,13.894710540771484,191,95,96,96,0,12,38000.0
38,38999,21.794467242996753,36.80555698315456,0.016324467949732968,12.586550235748291,2.7004823684692383,14.805423736572266,193,96,97,97,0,12,39000.0
39,39999,21.75353944273339,36.63617319105137,0.015206745987312087,13.100375175476074,2.7628746032714844,14.243717193603516,203,101,102,102,0,12,40000.0
40,40999,21.67005970565173,36.48874298178866,0.015354172403408306,13.390239477157593,2.8255774974823,14.741649627685547,211,105,106,106,0,12,41000.0
41,41999,21.53033853242608,36.23101941460866,0.015494223138585617,13.821706056594849,2.888073205947876,15.028434753417969,213,106,107,107,0,13,42000.0
42,42999,21.399662878479692,35.999043573755145,0.016101573078487585,14.173260927200317,2.9512486457824707,15.824737548828125,213,106,107,107,0,13,43000.0
43,43999,21.252490313581276,35.742337529476096,0.01666556774796646,14.503582239151001,3.01399302482605,15.909553527832031,219,109,110,110,0,13,44000.0
44,44999,21.137613810389784,35.54338014900744,0.016829822726874943,14.980583190917969,3.0824456214904785,16.597633361816406,221,110,111,111,0,13,45000.0
45,45999,21.017716756759373,35.298929242669644,0.01681418115269362,15.323376178741455,3.1594674587249756,17.33087921142578,223,111,112,112,0,13,46000.0
46,46999,20.894091400750643,35.0757855658088,0.017184304733812605,15.798391580581665,3.2260260581970215,17.30206298828125,225,112,113,113,0,13,47000.0
47,47999,20.80124907025032,34.954765341262316,0.017063402186869858,16.25181007385254,3.291142463684082,17.35802459716797,229,114,115,115,0,13,48000.0
48,48999,20.757197731168134,34.94206652051173,0.01645209349562149,16.493629217147827,3.3558239936828613,18.373733520507812,229,114,115,115,0,13,49000.0
49,49999,20.69766118852425,34.90116132460665,0.016388402956282744,16.734747409820557,3.4214606285095215,19.15857696533203,231,115,116,116,0,13,50000.0
50,50999,20.662745247673605,34.84683577837681,0.01677080244549689,17.28813672065735,3.48848295211792,18.948253631591797,239,119,120,120,0,14,51000.0
51,51999,20.639039453644216,34.75675944868704,0.016836470600329667,17.626566171646118,3.554255962371826,19.302799224853516,243,121,122,122,0,14,52000.0
52,52999,20.586788886386863,34.63459191209711,0.017033506570084067,18.05035376548767,3.6240317821502686,19.612354278564453,245,122,123,123,0,14,53000.0
53,53999,20.565574272262296,34.594614613290645,0.016825529283377327,18.523502349853516,3.699155569076538,19.463314056396484,251,125,126,126,0,14,54000.0
54,54999,20.557178847205122,34.53155116515388,0.01762612004492936,18.858527421951294,3.7687416076660156,20.159385681152344,253,126,127,127,0,15,55000.0
55,55999,20.57099390327645,34.506893131086294,0.017482563276336238,19.32685399055481,3.8392515182495117,19.721961975097656,261,130,131,131,0,15,56000.0
56,56999,20.576649734742272,34.45874104231735,0.017580697498254194,19.7961368560791,3.9091782569885254,20.20185089111328,265,132,133,133,0,15,57000.0
57,57999,20.596649637387305,34.41670590785183,0.017521007948827383,20.30078411102295,3.978644847869873,19.679061889648438,273,136,137,137,0,15,58000.0
58,58999,20.5904039856937,34.34280841186262,0.01788231679024166,20.726357460021973,4.047928333282471,20.206802368164062,273,136,137,137,0,15,59000.0
59,59999,20.60780680527925,34.287087405999486,0.018057011345916196,20.97232174873352,4.117565870285034,21.30170440673828,273,136,137,137,0,15,60000.0
60,60999,20.63649812719665,34.40163723160596,0.01810722813806953,21.353717803955078,4.185815811157227,21.726959228515625,275,137,138,138,0,15,61000.0
61,61999,20.563258185164752,34.28323537556759,0.01835271463927146,21.765170335769653,4.254892110824585,22.00335693359375,279,139,140,140,0,15,62000.0
62,62999,20.474452032803633,34.18551613318267,0.01882430795888168,22.399872064590454,4.326000213623047,21.80945587158203,283,141,142,142,0,15,63000.0
63,63999,20.393983431723434,34.116128650571554,0.019182035070635206,22.828486919403076,4.3947594165802,21.520668029785156,293,146,147,147,0,15,64000.0
64,64999,20.303884777823562,33.971619063577926,0.01911973461635319,23.25056505203247,4.463199853897095,22.02960968017578,295,147,148,148,0,15,65000.0
65,65999,20.26136398465155,33.951090033609766,0.01900272006217074,23.71190857887268,4.532563924789429,21.88568878173828,301,150,151,151,0,15,66000.0
66,66999,20.22975629358393,33.99237868253361,0.018745578918153982,24.055125951766968,4.603443622589111,22.035255432128906,311,155,156,156,0,15,67000.0
67,67999,20.195984408816948,33.93876531623354,0.018719029168438928,24.435375213623047,4.672967910766602,22.737152099609375,313,156,157,157,0,15,68000.0
68,68999,20.226671038732594,34.01555140404744,0.018992813703563982,24.84665560722351,4.743535995483398,23.749961853027344,313,156,157,157,0,15,69000.0
69,69999,20.269990552606348,34.35176727462558,0.019027394493505434,25.21511697769165,4.814182758331299,24.28197479248047,315,157,158,158,0,15,70000.0
70,70999,20.344866343230954,34.59769251049774,0.01968029666059501,25.57093620300293,4.885046720504761,24.649993896484375,319,159,160,160,0,15,71000.0
