,n_samples,MAE,RMSE,R2,time_learning,time_predicting,memory,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,999,20.345870620881445,37.926233934932554,-0.013637816773392375,0.17120718955993652,0.06766605377197266,0.6128082275390625,3,1,2,2,0,2,1000.0
1,1999,20.991268544271243,42.92050544617597,-0.00657294828530941,0.328916072845459,0.13448309898376465,0.9853172302246094,9,4,5,5,0,4,2000.0
2,2999,20.10025331123667,39.60972416330036,-0.0010750806110557676,0.4636046886444092,0.1889209747314453,1.3777885437011719,17,8,9,9,0,5,3000.0
3,3999,20.315401757748084,44.59047322236963,0.0031415057341683816,0.6275594234466553,0.2547950744628906,1.3858985900878906,27,13,14,14,0,6,4000.0
4,4999,19.829439776961095,42.0512181772931,0.004916443954970928,0.8017308712005615,0.30942678451538086,1.8709831237792969,31,15,16,16,0,7,5000.0
5,5999,19.473411816133968,40.57778444662624,0.006157474526439999,0.9248132705688477,0.36571574211120605,2.4068069458007812,35,17,18,18,0,7,6000.0
6,6999,19.431669034125363,39.48457845937663,0.007411742888530748,1.0615475177764893,0.42230796813964844,2.694103240966797,37,18,19,19,0,7,7000.0
7,7999,19.616055341363683,38.96188239592658,0.007850196535105214,1.1924755573272705,0.48122072219848633,3.127033233642578,43,21,22,22,0,8,8000.0
8,8999,19.973220954641718,39.1885070681344,0.008068259976449665,1.3863818645477295,0.5618393421173096,3.0501136779785156,51,25,26,26,0,9,9000.0
9,9999,20.51125724753656,39.83458742031607,0.011779274879089696,1.5399906635284424,0.6216471195220947,3.3499984741210938,59,29,30,30,0,9,10000.0
10,10999,20.725896455890247,39.59667406620898,0.012444594571999756,1.7205166816711426,0.6950373649597168,3.362812042236328,65,32,33,33,0,10,11000.0
11,11999,20.885402830023153,39.29554480376251,0.016031271767080968,1.838451623916626,0.7535712718963623,4.131618499755859,67,33,34,34,0,10,12000.0
12,12999,21.47101294114768,40.609136376126756,0.019294877946111066,1.9883501529693604,0.8136122226715088,4.181110382080078,75,37,38,38,0,10,13000.0
13,13999,22.083345598782405,41.133668855528846,0.02521935365645811,2.123375177383423,0.938422441482544,4.483432769775391,81,40,41,41,0,10,14000.0
14,14999,22.660134677251328,41.589153651933394,0.028718934166121368,2.265495777130127,0.9993588924407959,4.872966766357422,87,43,44,44,0,11,15000.0
15,15999,22.92916721403899,41.51518041181948,0.03075641799266715,2.3932323455810547,1.0582427978515625,5.357521057128906,91,45,46,46,0,11,16000.0
16,16999,23.3365859604945,41.96365632461358,0.03398871474798448,2.535162925720215,1.1178929805755615,5.443744659423828,97,48,49,49,0,11,17000.0
17,17999,23.657562585772823,41.91596628340271,0.03449914085968331,2.65524959564209,1.177433967590332,6.009044647216797,99,49,50,50,0,11,18000.0
18,18999,23.708234960213147,41.660146179268516,0.03073555936944672,2.7908570766448975,1.2376430034637451,6.341960906982422,105,52,53,53,0,11,19000.0
19,19999,23.473961086463706,41.25262628856101,0.03154917627476417,2.9628031253814697,1.310727834701538,6.504154205322266,113,56,57,57,0,11,20000.0
20,20999,23.067806377576208,40.83743865814655,0.0341589846273761,3.11724853515625,1.3707854747772217,6.619438171386719,125,62,63,63,0,11,21000.0
21,21999,22.693503718618693,40.26974693853984,0.03682561804071005,3.285644054412842,1.4457249641418457,7.247386932373047,129,64,65,65,0,11,22000.0
22,22999,22.38909434984946,39.96090273679612,0.038340365727995374,3.417052745819092,1.577772855758667,7.7625579833984375,131,65,66,66,0,11,23000.0
23,23999,22.124023941828757,39.43361793837113,0.040126990662911255,3.5612826347351074,1.6400213241577148,7.942409515380859,139,69,70,70,0,11,24000.0
24,24999,21.88741073783266,38.98812973993597,0.040984001854249,3.724076509475708,1.7004125118255615,7.9186553955078125,151,75,76,76,0,11,25000.0
25,25999,21.69208193222398,38.65749408618254,0.04074103275819396,3.8588128089904785,1.760512113571167,8.382343292236328,157,78,79,79,0,12,26000.0
26,26999,21.52266325121943,38.303614081864495,0.0406144860650417,3.9824764728546143,1.8212363719940186,8.962581634521484,159,79,80,80,0,12,27000.0
27,27999,21.37117946198866,38.00905834107965,0.040390550311496076,4.118409156799316,1.881835699081421,9.525333404541016,163,81,82,82,0,12,28000.0
28,28999,21.25982984447253,37.89492952052396,0.038890282042858826,4.2614521980285645,1.9443073272705078,9.851634979248047,169,84,85,85,0,12,29000.0
29,29999,21.164661430163342,37.636225078637125,0.03765452149330617,4.409374713897705,2.0054399967193604,9.905815124511719,177,88,89,89,0,13,30000.0
