,n_samples,MAE,RMSE,R2,time_learning,time_predicting,memory,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,999,20.42384130879432,37.93610961097188,-0.014165771224336376,0.11903619766235352,0.05650448799133301,0.23662567138671875,3,1,2,2,0,2,1000.0
1,1999,21.39349941302081,42.9058567644078,-0.00588598290925213,0.27307653427124023,0.12142586708068848,0.29546356201171875,3,1,2,2,0,2,2000.0
2,2999,20.593286258525932,39.69219170642934,-0.005247901565484492,0.43914246559143066,0.1849524974822998,0.3261146545410156,3,1,2,2,0,2,3000.0
3,3999,20.82549615494678,44.73227210697414,-0.0032086478379347305,0.5784142017364502,0.2378220558166504,0.2000885009765625,4,2,2,2,0,3,4000.0
4,4999,20.311422137538244,42.21762568297813,-0.002974743012196024,0.6995468139648438,0.2924377918243408,0.28832244873046875,5,3,2,2,0,4,5000.0
5,5999,19.94113211303236,40.756110287898956,-0.0025969331102662085,0.8328707218170166,0.3461287021636963,0.347076416015625,5,3,2,2,0,4,6000.0
6,6999,19.878620702256608,39.67297543689953,-0.0020829389792309527,0.9749801158905029,0.4008622169494629,0.3808097839355469,5,3,2,2,0,4,7000.0
7,7999,20.039043540353592,39.13049879121926,-0.0007558928922763997,1.123016119003296,0.45595502853393555,0.2565879821777344,6,4,2,2,0,5,8000.0
8,8999,20.541821164195078,39.30299983703011,0.0022637565109762114,1.2490148544311523,0.512934684753418,0.3215751647949219,7,5,2,2,0,6,9000.0
9,9999,21.198661476319558,39.92320074163556,0.007377727031598669,1.393998384475708,0.5710573196411133,0.5607414245605469,20,6,14,14,0,6,10000.0
10,10999,21.500054161829993,39.66565218400852,0.0090009191836391,1.5385053157806396,0.6286411285400391,0.8585395812988281,39,7,32,32,0,7,11000.0
11,11999,21.69409762217472,39.33203164955743,0.014203146806677336,1.6363205909729004,0.6871051788330078,1.3531875610351562,39,7,32,32,0,7,12000.0
12,12999,22.24739223228625,40.618259553864576,0.018854181444745488,1.734992265701294,0.7440853118896484,1.6199874877929688,40,7,33,33,0,7,13000.0
13,13999,22.806304756272738,41.064974877958356,0.02847243796447063,1.8512327671051025,0.8013415336608887,1.8046493530273438,40,7,33,33,0,7,14000.0
14,14999,23.30589586934197,41.44522721030137,0.0354298732658852,1.9531326293945312,0.857567310333252,1.9561882019042969,40,7,33,33,0,7,15000.0
15,15999,23.518710038386867,41.323830611723544,0.03967061017908424,2.074127674102783,0.9140923023223877,2.0542259216308594,40,7,33,33,0,7,16000.0
16,16999,23.84174211415661,41.72423029661204,0.04498053248329592,2.197155237197876,0.97214674949646,2.0952835083007812,42,8,34,34,0,7,17000.0
17,17999,24.09196281259613,41.635319336745674,0.0473848154111145,2.3038392066955566,1.0298006534576416,2.1965789794921875,42,8,34,34,0,7,18000.0
18,18999,24.047580115702274,41.2428062186288,0.05005794160521371,2.4184393882751465,1.0870277881622314,2.308330535888672,42,8,34,34,0,7,19000.0
19,19999,24.13599219735054,41.000962863452735,0.0433292858041231,2.543830633163452,1.1443743705749512,2.5231056213378906,42,8,34,34,0,7,20000.0
20,20999,24.101786509038583,40.790833970144845,0.0363622096996844,2.652679204940796,1.2019307613372803,2.6222877502441406,42,8,34,34,0,7,21000.0
21,21999,24.013631043145953,40.37883170976094,0.03160035732020461,2.7777059078216553,1.2599430084228516,2.6690330505371094,42,8,34,34,0,7,22000.0
22,22999,23.916063481935232,40.176023734828185,0.027958717921751086,2.901428699493408,1.3175373077392578,2.7454452514648438,42,8,34,34,0,7,23000.0
23,23999,23.791397549583596,39.735175274143124,0.025390147761489734,3.029327630996704,1.3752174377441406,2.786205291748047,42,8,34,34,0,7,24000.0
24,24999,23.66345029555888,39.35496500519991,0.022852538793714516,3.162381172180176,1.4329118728637695,2.8288841247558594,42,8,34,34,0,7,25000.0
25,25999,23.52707231887422,39.05361103111463,0.020981577049927203,3.2815029621124268,1.4908509254455566,2.881000518798828,42,8,34,34,0,7,26000.0
26,26999,23.442841281927716,38.743051282557815,0.01847516406879557,3.3966712951660156,1.5473227500915527,2.914264678955078,42,8,34,34,0,7,27000.0
27,27999,23.31787827849578,38.467031606230236,0.017126458829641145,3.530149459838867,1.6047585010528564,2.9405479431152344,42,8,34,34,0,7,28000.0
28,28999,23.210536347873663,38.349751305125686,0.01568100728796129,3.6445069313049316,1.6642234325408936,2.9870948791503906,42,8,34,34,0,7,29000.0
29,29999,23.113159392190155,38.07802332234825,0.014928652615950888,3.788508415222168,1.7216920852661133,3.0141563415527344,42,8,34,34,0,7,30000.0
30,30999,23.036346456318764,38.211906862198894,0.014481675768647229,3.909395456314087,1.7792491912841797,3.0265350341796875,42,8,34,34,0,7,31000.0
31,31999,22.938151965818523,37.956327461285966,0.014173782138895863,4.026453256607056,1.8367109298706055,3.0593719482421875,42,8,34,34,0,7,32000.0
32,32999,22.879928861172022,37.82791598233796,0.014138535499166771,4.1678855419158936,1.8939323425292969,3.0634002685546875,42,8,34,34,0,7,33000.0
33,33999,22.81852564330887,37.648589112427764,0.014229226671976347,4.2703330516815186,1.9513916969299316,3.0070343017578125,44,9,35,35,0,8,34000.0
34,34999,22.75920781587746,37.51166990359482,0.014371112299689237,4.404566049575806,2.0096848011016846,3.0772972106933594,44,9,35,35,0,8,35000.0
35,35999,22.74204126657826,37.37659471858925,0.014510934185889224,4.544768810272217,2.0679738521575928,3.0860595703125,44,9,35,35,0,8,36000.0
36,36999,22.677463146340035,37.19891208986052,0.015155532464599886,4.665964365005493,2.1254053115844727,3.0908470153808594,44,9,35,35,0,8,37000.0
