HTR + E-BST,HTR + TE-BST,HTR + QO$_{0.25}$,HTR + QO$_{1} + M$
2.968,1.588,0.44074609375,0.351724609375
41.93400000000001,13.992,7.92,8.824000000000002
18.414,5.0680000000000005,2.1160000000000005,0.8841640625
15.37,8.424000000000001,2.68,2.8000000000000003
25.39,8.437999999999999,5.098000000000001,3.798
20.656,10.604000000000001,3.7180000000000013,3.222
37.188,21.261999999999997,9.228,7.1480000000000015
5.496,1.27556640625,1.052880859375,0.9715488281249998
32.28,7.94,7.1,6.416
22.004,14.957999999999998,4.098,1.4004355468749998
6.5459999999999985,4.008,1.7180000000000002,1.0855507812499998
110.25,78.842,19.868,14.734000000000002
12.128,7.958000000000001,2.8080000000000003,2.498
8.398,6.425999999999998,1.896,0.6023984375
30.879999999999995,21.35,7.082000000000002,1.9980000000000004
