HTR + E-BST,HTR + TE-BST,HTR + QO$_{0.25}$,HTR + QO$_{1} + M$
2.2972146,2.2646886000000004,2.3382009999999998,2.105069
0.00021600000000000002,0.00021040000000000002,0.00022080000000000003,0.0002094
78.760966,81.11134859999999,96.0538464,94.8756286
64200.98143539999,64251.911624399996,64779.0668066,68415.59057540001
0.003433,0.0034165999999999997,0.0035288000000000003,0.0035752000000000006
21575.7886612,21558.219112799998,23219.552695,24313.005562000002
24543.4570458,24688.669260599996,23983.6279104,26604.189104400004
1707.2069144000004,1703.8211107999998,1704.9073414000004,1691.8234674000003
16.2385174,16.084460200000002,16.193358800000002,21.2974906
3.916665,3.9298778,3.8702775999999997,3.7079942
0.6380636,0.6318126000000001,0.6516554,0.6527768
2.0313068000000003,2.0521512,2.2085437999999997,2.0600936
5.6266295999999985,6.4358598,4.940813200000001,5.4405676000000005
3.198212,3.1945764,3.4461622000000003,2.9593576
0.0144546,0.014739799999999999,0.018122400000000004,0.013978399999999998
